Gesture_Sequence,Natural_Sentence
Please+Stop+Yes,"Please. Please halt. And yes."
Please+Stop+No,"Please. Please wait right there. And no."
Please+Stop+ThankYou,If you would. Please wait right there. And thank you.
Please+Stop+Sorry,Please. Please wait right there. And I am sorry.
Please+Stop+Help,If you would. Please halt. And I need your help.
Please+Stop+Wait,If you would. Please wait right there. And hold on.
Please+Stop+Hungry,Please. Please wait right there. And I need food.
Please+Stop+Water,Please. Please wait right there. And I'm thirsty.
Please+Stop+Emergency,If you would. Please stop. And this is an emergency!
Please+Stop+Home,If you would. Please halt. And I want to go home.
Please+Wait+Hello,"Please. Wait a moment. And hello."
Please+Wait+Goodbye,Please. Wait a moment. And goodbye.
Please+Wait+Yes,"If you would. Give me a second. And yes."
Please+Wait+No,"Please. Wait a moment. And no."
Please+Wait+ThankYou,If you would. Wait a moment. And thank you.
Please+Wait+Sorry,If you would. Give me a second. And I am sorry.
Please+Wait+Help,Please. Give me a second. And I need your help.
Please+Wait+Stop,Please. Wait a moment. And please stop.
Please+Wait+Hungry,If you would. Wait a moment. And I need food.
Please+Wait+Water,Please. Wait a moment. And I need a drink.
Please+Wait+Pain,Please. Give me a second. And I am in pain.
Please+Wait+Emergency,If you would. Give me a second. And this is an emergency!
Please+Wait+Home,Please. Give me a second. And I want to go home.
Please+Hungry+Hello,"Please. I need food. And hello."
Please+Hungry+Goodbye,Please. Please get me food. And goodbye.
Please+Hungry+Yes,"Please. Please get me food. And yes."
Please+Hungry+No,"Please. I'm hungry. And no."
Please+Hungry+ThankYou,Please. Please get me food. And much appreciated.
Please+Hungry+Sorry,If you would. I need food. And I am sorry.
Please+Hungry+Help,Please. I'm hungry. And I need your assistance.
Please+Hungry+Stop,Please. I need food. And please stop.
Please+Hungry+Wait,If you would. Please get me food. And hold on.
Please+Hungry+Water,Please. Please get me food. And I need a drink.
Please+Hungry+Pain,If you would. I'm hungry. And it hurts.
Please+Hungry+Emergency,Please. Please get me food. And this is an emergency!
Please+Hungry+Home,Please. I need food. And let's go home.
Please+Water+Hello,"Please. I need a drink. And hello."
Please+Water+Goodbye,Please. I'm thirsty. And goodbye.
Please+Water+Yes,"Please. Please get me a drink. And yes."
Please+Water+No,"If you would. I'm thirsty. And no."
Please+Water+ThankYou,Please. Please get me a drink. And thanks.
Please+Water+Sorry,Please. Please get me a drink. And I am sorry.
Please+Water+Help,Please. Please get me a drink. And I need your help.
Please+Water+Stop,Please. Please get me a drink. And please stop.
Please+Water+Wait,Please. I'm thirsty. And please wait a moment.
Please+Water+Hungry,Please. Please get me a drink. And I need food.
Please+Water+Pain,Please. Please get me a drink. And I'm in pain.
Please+Water+Emergency,Please. I need water. And this is an emergency!
Please+Water+Home,Please. I'm thirsty. And take me home.
Please+Pain+Hello,"Please. I'm in pain. And hello."
Please+Pain+Goodbye,If you would. It hurts. And goodbye.
Please+Pain+Yes,"Please. I am in pain. And yes."
Please+Pain+No,"Please. It hurts. And no."
Please+Pain+ThankYou,Please. It hurts. And thank you.
Please+Pain+Sorry,Please. I'm in pain. And I am sorry.
Please+Pain+Help,Please. I am in pain. And I need your help.
Please+Pain+Stop,Please. It hurts. And please stop.
Please+Pain+Wait,Please. I'm in pain. And please wait a moment.
Please+Pain+Hungry,If you would. I'm in pain. And I'm hungry.
Please+Pain+Water,Please. I am in pain. And I need water.
Please+Pain+Emergency,Please. I am in pain. And this is urgent!
Please+Pain+Home,Please. I'm in pain. And I want to go home.
Please+Emergency+Hello,"Please. This is an emergency! And hello."
Please+Emergency+Goodbye,Please. This is urgent! And goodbye.
Please+Emergency+Yes,"Please. This is an emergency! And yes."
Please+Emergency+No,"Please. This is urgent! And no."
Please+Emergency+ThankYou,Please. This is an emergency! And thank you.
Please+Emergency+Sorry,If you would. This is an emergency! And I am sorry.
Please+Emergency+Help,Please. This is urgent! And I need your help.
Please+Emergency+Stop,Please. This is an emergency! And please wait right there.
Please+Emergency+Wait,If you would. This is urgent! And hold on.
Please+Emergency+Hungry,If you would. This is urgent! And I need food.
Please+Emergency+Water,Please. This is an emergency! And I need a drink.
Please+Emergency+Pain,If you would. This is an emergency! And I'm in pain.
Please+Emergency+Home,Please. This is an emergency! And take me home.
Please+Home+Hello,"Please. Let's go home. And hello."
Please+Home+Goodbye,Please. I want to go home. And goodbye.
Please+Home+Yes,"Please. Let's go home. And yes."
Please+Home+No,"Please. Take me home. And no."
Please+Home+ThankYou,Please. Take me home. And much appreciated.
Please+Home+Sorry,Please. Take me home. And I am sorry.
Please+Home+Help,If you would. Let's go home. And I need your help.
Please+Home+Stop,Please. Take me home. And please wait right there.
Please+Home+Wait,Please. Let's go home. And hold on.
Please+Home+Hungry,Please. I want to go home. And I need food.
Please+Home+Water,Please. I want to go home. And I'm thirsty.
Please+Home+Pain,If you would. Take me home. And it hurts.
Please+Home+Emergency,Please. I want to go home. And this is an emergency!
ThankYou+Hello+Goodbye,"Thank you. Hello. And goodbye."
ThankYou+Hello+Yes,"Thanks. Hello. And yes, that is correct."
ThankYou+Hello+No,"Thanks. Hello. And no, that is incorrect."
ThankYou+Hello+Please,"Thanks. Hello. And if you would, please."
ThankYou+Hello+Sorry,"Thank you. Hello. And I am sorry."
ThankYou+Hello+Help,"Thank you. Hello. And I need your assistance."
ThankYou+Hello+Stop,"Thanks. Hello. And please halt."
ThankYou+Hello+Wait,"Thanks. Hello. And give me a second."
ThankYou+Hello+Hungry,"Thanks. Hello. And I'm hungry."
ThankYou+Hello+Water,"Much appreciated. Hello. And I need water."
ThankYou+Hello+Pain,"Thanks. Hello. And I'm in pain."
ThankYou+Hello+Emergency,"Much appreciated. Hello. And this is urgent!"
ThankYou+Hello+Home,"Thanks. Hello. And let's go home."
ThankYou+Goodbye+Hello,"Much appreciated. Goodbye. And hello."
ThankYou+Goodbye+Yes,"Much appreciated. Goodbye. And yes."
ThankYou+Goodbye+No,"Much appreciated. Goodbye. And no."
ThankYou+Goodbye+Please,"Thanks. Goodbye. And if you would, please."
ThankYou+Goodbye+Sorry,"Thank you. Goodbye. And I am sorry."
ThankYou+Goodbye+Help,"Thanks. Goodbye. And I need your help."
ThankYou+Goodbye+Stop,"Much appreciated. Goodbye. And please stop."
ThankYou+Goodbye+Wait,"Much appreciated. Goodbye. And hold on."
ThankYou+Goodbye+Hungry,"Much appreciated. Goodbye. And I'm hungry."
ThankYou+Goodbye+Water,Much appreciated. Goodbye. And I need water.
ThankYou+Goodbye+Pain,Much appreciated. Goodbye. And I am in pain.
ThankYou+Goodbye+Emergency,Thanks. Goodbye. And this is urgent!
ThankYou+Goodbye+Home,Much appreciated. Goodbye. And let's go home.
ThankYou+Yes+Hello,"Much appreciated. Yes. And hello."
ThankYou+Yes+Goodbye,"Thank you. Yes. And goodbye."
ThankYou+Yes+No,"Thanks. Yes. And no."
ThankYou+Yes+Please,"Thanks. Yes. And if you would, please."
ThankYou+Yes+Sorry,"Thank you. Yes. And I am sorry."
ThankYou+Yes+Help,"Thanks. Yes. And I need your assistance."
ThankYou+Yes+Stop,"Thank you. Yes. And please halt."
ThankYou+Yes+Wait,"Thanks. Yes. And please wait a moment."
ThankYou+Yes+Hungry,"Much appreciated. Yes. And I need food."
ThankYou+Yes+Water,"Thanks. Yes. And I'm thirsty."
ThankYou+Yes+Pain,"Much appreciated. Yes. And it hurts."
ThankYou+Yes+Emergency,"Much appreciated. Yes. And this is urgent!"
ThankYou+Yes+Home,"Thanks. Yes. And let's go home."
ThankYou+No+Hello,"Much appreciated. No. And hello."
ThankYou+No+Goodbye,"Much appreciated. No. And goodbye."
ThankYou+No+Yes,"Thanks. No. And yes, that is correct."
ThankYou+No+Please,"Much appreciated. No. And if you would, please."
ThankYou+No+Sorry,"Much appreciated. No. And I am sorry."
ThankYou+No+Help,"Much appreciated. No. And I need your assistance."
ThankYou+No+Stop,"Thanks. No. And please stop."
ThankYou+No+Wait,"Thanks. No. And please hold on."
ThankYou+No+Hungry,"Thank you. No. And I'm hungry."
ThankYou+No+Water,"Thank you. No. And I need a drink."
ThankYou+No+Pain,"Thanks. No. And it hurts."
ThankYou+No+Emergency,"Thank you. No. And this is urgent!"
ThankYou+No+Home,"Thanks. No. And let's go home."
ThankYou+Please+Hello,"Thank you. If you would, please. And hello."
ThankYou+Please+Goodbye,"Thank you. If you would, please. And goodbye."
ThankYou+Please+Yes,"Much appreciated. If you would, please. And yes."
ThankYou+Please+No,"Much appreciated. If you would, please. And no."
ThankYou+Please+Sorry,"Thank you. If you would, please. And I am sorry."
ThankYou+Please+Help,"Thanks. Please, I need your help."
ThankYou+Please+Stop,"Thank you. Please, stop."
ThankYou+Please+Wait,"Thanks. Please, wait a moment."
ThankYou+Please+Hungry,"Thanks. Please, I need something to eat."
ThankYou+Please+Water,"Thank you. Please, I'm thirsty."
ThankYou+Please+Pain,"Thanks. If you would, please, I'm in pain."
ThankYou+Please+Emergency,"Thank you. If you would, please, this is urgent!"
ThankYou+Please+Home,"Thanks. If you would, please, take me home."
ThankYou+Sorry+Hello,"Thanks. I am sorry. And hello."
ThankYou+Sorry+Goodbye,"Thank you. I'm sorry. And goodbye."
ThankYou+Sorry+Yes,"Thank you. I apologize. And yes."
ThankYou+Sorry+No,"Thanks. I apologize. And no."
ThankYou+Sorry+Please,"Thanks. I apologize. And if you would, please."
ThankYou+Sorry+Help,"Thanks. My apologies. And I need your help."
ThankYou+Sorry+Stop,"Much appreciated. My apologies. And please wait right there."
ThankYou+Sorry+Wait,Thank you. My apologies. And please wait a moment.
ThankYou+Sorry+Hungry,Thanks. I'm sorry. And I need food.
ThankYou+Sorry+Water,Thank you. I'm sorry. And I'm thirsty.
ThankYou+Sorry+Pain,Thanks. I apologize. And it hurts.
ThankYou+Sorry+Emergency,Much appreciated. My apologies. And this is urgent!
ThankYou+Sorry+Home,Thank you. I apologize. And I want to go home.
ThankYou+Help+Hello,"Thanks. Please help me. And hello."
ThankYou+Help+Goodbye,Much appreciated. Please assist me. And goodbye.
ThankYou+Help+Yes,"Thank you. I need your help. And yes."
ThankYou+Help+No,"Much appreciated. Please help me. And no."
ThankYou+Help+Please,Thank you. Please assist me. And if you would.
ThankYou+Help+Sorry,Thanks. Please assist me. And I am sorry.
ThankYou+Help+Stop,Thanks. Please help me. And please stop.
ThankYou+Help+Wait,Thanks. I need your help. And give me a second.
ThankYou+Help+Hungry,Much appreciated. Please help me. And I'm hungry.
ThankYou+Help+Water,Thanks. Please assist me. And I'm thirsty.
ThankYou+Help+Pain,Thank you. Please assist me. And it hurts.
ThankYou+Help+Emergency,Much appreciated. Please assist me. And this is an emergency!
ThankYou+Help+Home,Thanks. Please assist me. And I want to go home.
ThankYou+Stop+Hello,"Much appreciated. Please stop. And hello."
ThankYou+Stop+Goodbye,Thanks. Please wait right there. And goodbye.
ThankYou+Stop+Yes,"Thanks. Please stop. And yes."
ThankYou+Stop+No,"Thank you. Please stop. And no."
ThankYou+Stop+Please,Thank you. Please wait right there. And if you would.
ThankYou+Stop+Sorry,Much appreciated. Please halt. And I am sorry.
ThankYou+Stop+Help,Much appreciated. Please stop. And I need your help.
ThankYou+Stop+Wait,Thank you. Please stop. And wait a moment.
ThankYou+Stop+Hungry,Thank you. Please halt. And I need food.
ThankYou+Stop+Water,Thanks. Please wait right there. And I'm thirsty.
ThankYou+Stop+Pain,Much appreciated. Please stop. And I'm in pain.
ThankYou+Stop+Emergency,Thank you. Please halt. And this is an emergency!
ThankYou+Stop+Home,Much appreciated. Please wait right there. And take me home.
ThankYou+Wait+Hello,"Thank you. Please hold on. And hello."
ThankYou+Wait+Goodbye,Thanks. Please hold on. And goodbye.
ThankYou+Wait+Yes,"Thank you. Give me a second. And yes."
ThankYou+Wait+No,"Thank you. Please hold on. And no."
ThankYou+Wait+Please,Much appreciated. Please wait a moment. And if you would.
ThankYou+Wait+Sorry,Thanks. Please hold on. And I am sorry.
ThankYou+Wait+Help,Thanks. Please wait a moment. And I need your help.
ThankYou+Wait+Stop,Thanks. Please hold on. And please stop.
ThankYou+Wait+Hungry,Thank you. Please hold on. And I'm hungry.
ThankYou+Wait+Water,Thank you. Please wait a moment. And I need a drink.
ThankYou+Wait+Pain,Thanks. Please hold on. And it hurts.
ThankYou+Wait+Emergency,Thank you. Please hold on. And this is an emergency!
ThankYou+Wait+Home,Thanks. Give me a second. And take me home.
ThankYou+Hungry+Hello,"Thank you. I'm hungry. And hello."
ThankYou+Hungry+Goodbye,Thank you. I'm hungry. And goodbye.
ThankYou+Hungry+Yes,"Thank you. I'm hungry. And yes."
ThankYou+Hungry+No,"Much appreciated. I'm hungry. And no."
ThankYou+Hungry+Please,Thank you. Please get me food. And if you would.
ThankYou+Hungry+Sorry,Much appreciated. I'm hungry. And I am sorry.
ThankYou+Hungry+Help,Thank you. Please get me food. And I need your assistance.
ThankYou+Hungry+Stop,Thank you. I'm hungry. And please stop.
ThankYou+Hungry+Wait,Thank you. Please get me food. And wait a moment.
ThankYou+Hungry+Water,Thank you. I need food. And I'm thirsty.
ThankYou+Hungry+Pain,Thanks. Please get me food. And it hurts.
ThankYou+Hungry+Emergency,Much appreciated. Please get me food. And this is an emergency!
ThankYou+Hungry+Home,Thanks. I need food. And I want to go home.
ThankYou+Water+Hello,"Much appreciated. I'm thirsty. And hello."
ThankYou+Water+Goodbye,Thanks. Please get me a drink. And goodbye.
ThankYou+Water+Yes,"Much appreciated. Please get me a drink. And yes."
ThankYou+Water+No,"Thanks. I need water. And no."
ThankYou+Water+Please,"Thanks. I'm thirsty. And if you would, please."
ThankYou+Water+Sorry,Much appreciated. I need water. And I am sorry.
ThankYou+Water+Help,Thanks. I need water. And I need your help.
ThankYou+Water+Stop,Much appreciated. I'm thirsty. And please stop.
ThankYou+Water+Wait,Thank you. I'm thirsty. And hold on.
ThankYou+Water+Hungry,Thank you. I need water. And I need food.
ThankYou+Water+Pain,Thanks. Please get me a drink. And I am in pain.
ThankYou+Water+Emergency,Much appreciated. Please get me a drink. And this is urgent!
ThankYou+Water+Home,Much appreciated. I'm thirsty. And I want to go home.
ThankYou+Pain+Hello,"Thank you. I'm in pain. And hello."
ThankYou+Pain+Goodbye,Much appreciated. I am in pain. And goodbye.
ThankYou+Pain+Yes,"Thanks. I'm in pain. And yes."
ThankYou+Pain+No,"Much appreciated. It hurts. And no."
ThankYou+Pain+Please,"Thanks. I'm in pain. And if you would, please."
ThankYou+Pain+Sorry,Much appreciated. I am in pain. And I am sorry.
ThankYou+Pain+Help,Thank you. It hurts. And I need your help.
ThankYou+Pain+Stop,Thank you. I am in pain. And please wait right there.
ThankYou+Pain+Wait,Thanks. I'm in pain. And please wait a moment.
ThankYou+Pain+Hungry,Thank you. I'm in pain. And I'm hungry.
ThankYou+Pain+Water,Thank you. I am in pain. And I need a drink.
ThankYou+Pain+Emergency,Thanks. It hurts. And this is an emergency!
ThankYou+Pain+Home,Thanks. I am in pain. And take me home.
ThankYou+Emergency+Hello,"Thanks. This is an emergency! And hello."
ThankYou+Emergency+Goodbye,Thank you. This is urgent! And goodbye.
ThankYou+Emergency+Yes,"Thank you. This is an emergency! And yes."
ThankYou+Emergency+No,"Much appreciated. This is an emergency! And no."
ThankYou+Emergency+Please,"Thanks. This is an emergency! And if you would, please."
ThankYou+Emergency+Sorry,Thanks. This is urgent! And I am sorry.
ThankYou+Emergency+Help,Thanks. This is an emergency! And I need your help.
ThankYou+Emergency+Stop,Thanks. This is urgent! And please stop.
ThankYou+Emergency+Wait,Much appreciated. This is an emergency! And give me a second.
ThankYou+Emergency+Hungry,Much appreciated. This is an emergency! And I need food.
ThankYou+Emergency+Water,Thanks. This is urgent! And I'm thirsty.
ThankYou+Emergency+Pain,Thank you. This is an emergency! And I'm in pain.
ThankYou+Emergency+Home,Thank you. This is urgent! And let's go home.
ThankYou+Home+Hello,"Thank you. I want to go home. And hello."
ThankYou+Home+Goodbye,Thanks. Please take me home. And goodbye.
ThankYou+Home+Yes,"Thanks. Please take me home. And yes."
ThankYou+Home+No,"Thanks. Please take me home. And no."
ThankYou+Home+Please,"Thanks. I want to go home. And if you would, please."
ThankYou+Home+Sorry,Much appreciated. I want to go home. And I am sorry.
ThankYou+Home+Help,Much appreciated. Please take me home. And I need your help.
ThankYou+Home+Stop,Thanks. Please take me home. And please stop.
ThankYou+Home+Wait,Thanks. Please take me home. And give me a second.
ThankYou+Home+Hungry,Much appreciated. I want to go home. And I need food.
ThankYou+Home+Water,Much appreciated. Let's go home. And I need a drink.
ThankYou+Home+Pain,Thank you. Please take me home. And I'm in pain.
ThankYou+Home+Emergency,Thanks. Please take me home. And this is an emergency!
Sorry+Hello+Goodbye,"My apologies. Hello. And goodbye."
Sorry+Hello+Yes,"I am sorry. Hello. And yes, that is correct."
Sorry+Hello+No,"I'm sorry. Hello. And no, that is incorrect."
Sorry+Hello+Please,"I apologize. Hello. And if you would, please."
Sorry+Hello+ThankYou,"I am sorry. Hello. And thank you."
Sorry+Hello+Help,"My apologies. Hello. And I need your help."
Sorry+Hello+Stop,"I'm sorry. Hello. And please halt."
Sorry+Hello+Wait,"I apologize. Hello. And please wait a moment."
Sorry+Hello+Hungry,"I am sorry. Hello. And I need food."
Sorry+Hello+Water,"I apologize. Hello. And I'm thirsty."
Sorry+Hello+Pain,"My apologies. Hello. And it hurts."
Sorry+Hello+Emergency,"My apologies. Hello. And this is an emergency!"
Sorry+Hello+Home,"My apologies. Hello. And take me home."
Sorry+Goodbye+Hello,"I am sorry. Goodbye. And hello."
Sorry+Goodbye+Yes,"I'm sorry. Goodbye. And yes."
Sorry+Goodbye+No,"I apologize. Goodbye. And no."
Sorry+Goodbye+Please,"My apologies. Goodbye. And if you would, please."
Sorry+Goodbye+ThankYou,"My apologies. Goodbye. And thank you."
Sorry+Goodbye+Help,"I apologize. Goodbye. And I need your assistance."
Sorry+Goodbye+Stop,"My apologies. Goodbye. And please stop."
Sorry+Goodbye+Wait,"I'm sorry. Goodbye. And hold on."
Sorry+Goodbye+Hungry,"I'm sorry. Goodbye. And I'm hungry."
Sorry+Goodbye+Water,I apologize. Goodbye. And I need water.
Sorry+Goodbye+Pain,I apologize. Goodbye. And I'm in pain.
Sorry+Goodbye+Emergency,I'm sorry. Goodbye. And this is urgent!
Sorry+Goodbye+Home,My apologies. Goodbye. And let's go home.
Sorry+Yes+Hello,"My apologies. Yes, that is correct. And hello."
Sorry+Yes+Goodbye,"I am sorry. Yes. And goodbye."
Sorry+Yes+No,"I'm sorry. Yes. And no to that part."
Sorry+Yes+Please,"I apologize. Yes. And if you would, please."
Sorry+Yes+ThankYou,"I am sorry. Yes. And thank you."
Sorry+Yes+Help,"My apologies. Yes. And I need your help."
Sorry+Yes+Stop,"My apologies. Yes. And please stop."
Sorry+Yes+Wait,"My apologies. Yes. And give me a second."
Sorry+Yes+Hungry,"My apologies. Yes. And I'm hungry."
Sorry+Yes+Water,"My apologies. Yes. And I need water."
Sorry+Yes+Pain,"I apologize. Yes. And I am in pain."
Sorry+Yes+Emergency,"I apologize. Yes. And this is an emergency!"
Sorry+Yes+Home,"I apologize. Yes. And take me home."
Sorry+No+Hello,"I am sorry. No. And hello."
Sorry+No+Goodbye,"I apologize. No. And goodbye."
Sorry+No+Yes,"I apologize. No. And yes, that is correct."
Sorry+No+Please,"I apologize. No. And if you would, please."
Sorry+No+ThankYou,"My apologies. No. And thank you."
Sorry+No+Help,"My apologies. No. And I need your assistance."
Sorry+No+Stop,"My apologies. No. And please wait right there."
Sorry+No+Wait,"I'm sorry. No. And hold on."
Sorry+No+Hungry,"I'm sorry. No. And I need food."
Sorry+No+Water,"I apologize. No. And I need water."
Sorry+No+Pain,"My apologies. No. And I am in pain."
Sorry+No+Emergency,"I apologize. No. And this is urgent!"
Sorry+No+Home,"I'm sorry. No. And take me home."
Sorry+Please+Hello,"I apologize. If you would, please. And hello."
Sorry+Please+Goodbye,"I apologize. If you would, please. And goodbye."
Sorry+Please+Yes,"My apologies. If you would, please. And yes."
Sorry+Please+No,"I'm sorry. If you would, please. And no."
Sorry+Please+ThankYou,"My apologies. If you would, please. And thank you."
Sorry+Please+Help,"My apologies. If you would, please, I need your help."
Sorry+Please+Stop,"I'm sorry. If you would, please stop."
Sorry+Please+Wait,"I apologize. If you would, please wait."
Sorry+Please+Hungry,"I apologize. If you would, please, I need food."
Sorry+Please+Water,"I apologize. If you would, please, I need water."
Sorry+Please+Pain,"My apologies. If you would, please, I am in pain."
Sorry+Please+Emergency,"I apologize. If you would, please, this is urgent!"
Sorry+Please+Home,"My apologies. If you would, please, let's go home."
Sorry+ThankYou+Hello,"My apologies. Much appreciated. And hello."
Sorry+ThankYou+Goodbye,"I'm sorry. Thanks. And goodbye."
Sorry+ThankYou+Yes,"I'm sorry. Much appreciated. And yes."
Sorry+ThankYou+No,"My apologies. Much appreciated. And no."
Sorry+ThankYou+Please,"I'm sorry. Thanks. And if you would, please."
Sorry+ThankYou+Help,"I apologize. Thank you. And I need your help."
Sorry+ThankYou+Stop,"My apologies. Much appreciated. And please stop."
Sorry+ThankYou+Wait,My apologies. Thanks. And give me a second.
Sorry+ThankYou+Hungry,I'm sorry. Thank you. And I need food.
Sorry+ThankYou+Water,I'm sorry. Thank you. And I need water.
Sorry+ThankYou+Pain,I'm sorry. Thanks. And it hurts.
Sorry+ThankYou+Emergency,I'm sorry. Much appreciated. And this is an emergency!
Sorry+ThankYou+Home,My apologies. Thank you. And I want to go home.
Sorry+Help+Hello,"I'm sorry. I need your help. And hello."
Sorry+Help+Goodbye,My apologies. I need your help. And goodbye.
Sorry+Help+Yes,"I'm sorry. Please assist me. And yes."
Sorry+Help+No,"My apologies. Please help me. And no."
Sorry+Help+Please,I'm sorry. Please help me. And if you would.
Sorry+Help+ThankYou,My apologies. Please help me. And thank you.
Sorry+Help+Stop,I apologize. Please help me. And please wait right there.
Sorry+Help+Wait,I apologize. Please assist me. And wait a moment.
Sorry+Help+Hungry,I'm sorry. I need your help. And I need food.
Sorry+Help+Water,I'm sorry. I need your assistance. And I'm thirsty.
Sorry+Help+Pain,My apologies. Please help me. And it hurts.
Sorry+Help+Emergency,My apologies. Please assist me. And this is an emergency!
Sorry+Help+Home,I'm sorry. Please assist me. And take me home.
Sorry+Stop+Hello,"My apologies. Please halt. And hello."
Sorry+Stop+Goodbye,I'm sorry. Please wait right there. And goodbye.
Sorry+Stop+Yes,"My apologies. Please halt. And yes."
Sorry+Stop+No,"My apologies. Please halt. And no."
Sorry+Stop+Please,My apologies. Please stop. And if you would.
Sorry+Stop+ThankYou,I apologize. Please stop. And thank you.
Sorry+Stop+Help,My apologies. Please halt. And I need your help.
Sorry+Stop+Wait,I'm sorry. Please stop. And hold on.
Sorry+Stop+Hungry,I'm sorry. Please stop. And I'm hungry.
Sorry+Stop+Water,I apologize. Please stop. And I need a drink.
Sorry+Stop+Pain,I apologize. Please wait right there. And I'm in pain.
Sorry+Stop+Emergency,I'm sorry. Please wait right there. And this is an emergency!
Sorry+Stop+Home,I apologize. Please halt. And I want to go home.
Sorry+Wait+Hello,"I'm sorry. Please wait a moment. And hello."
Sorry+Wait+Goodbye,I apologize. Give me a second. And goodbye.
Sorry+Wait+Yes,"I apologize. Please hold on. And yes."
Sorry+Wait+No,"I apologize. Please hold on. And no."
Sorry+Wait+Please,My apologies. Please hold on. And if you would.
Sorry+Wait+ThankYou,I'm sorry. Give me a second. And thank you.
Sorry+Wait+Help,I apologize. Please hold on. And I need your help.
Sorry+Wait+Stop,I apologize. Please hold on. And please stop.
Sorry+Wait+Hungry,My apologies. Give me a second. And I need food.
Sorry+Wait+Water,My apologies. Please hold on. And I need a drink.
Sorry+Wait+Pain,I apologize. Please hold on. And I am in pain.
Sorry+Wait+Emergency,My apologies. Please wait a moment. And this is an emergency!
Sorry+Wait+Home,I apologize. Please hold on. And take me home.
Sorry+Hungry+Hello,"I apologize. I need food. And hello."
Sorry+Hungry+Goodbye,My apologies. I'm hungry. And goodbye.
Sorry+Hungry+Yes,"I'm sorry. Please get me food. And yes."
Sorry+Hungry+No,"My apologies. I need food. And no."
Sorry+Hungry+Please,"I'm sorry. I need food. And if you would, please."
Sorry+Hungry+ThankYou,I apologize. I'm hungry. And much appreciated.
Sorry+Hungry+Help,My apologies. Please get me food. And I need your help.
Sorry+Hungry+Stop,I apologize. I'm hungry. And please stop.
Sorry+Hungry+Wait,My apologies. Please get me food. And wait a moment.
Sorry+Hungry+Water,I apologize. Please get me food. And I need a drink.
Sorry+Hungry+Pain,I'm sorry. I'm hungry. And it hurts.
Sorry+Hungry+Emergency,I'm sorry. Please get me food. And this is an emergency!
Sorry+Hungry+Home,My apologies. I need food. And let's go home.
Sorry+Water+Hello,"My apologies. I need a drink. And hello."
Sorry+Water+Goodbye,I'm sorry. I need water. And goodbye.
Sorry+Water+Yes,"I apologize. I need water. And yes."
Sorry+Water+No,"My apologies. I need water. And no."
Sorry+Water+Please,"I apologize. I need water. And if you would, please."
Sorry+Water+ThankYou,I apologize. I need water. And thank you.
Sorry+Water+Help,I apologize. Please get me a drink. And I need your help.
Sorry+Water+Stop,I'm sorry. I need water. And please stop.
Sorry+Water+Wait,I'm sorry. I'm thirsty. And wait a moment.
Sorry+Water+Hungry,I apologize. Please get me a drink. And I'm hungry.
Sorry+Water+Pain,I apologize. Please get me a drink. And it hurts.
Sorry+Water+Emergency,I'm sorry. I need water. And this is an emergency!
Sorry+Water+Home,My apologies. I'm thirsty. And take me home.
Sorry+Pain+Hello,"I'm sorry. I'm in pain. And hello."
Sorry+Pain+Goodbye,My apologies. I'm in pain. And goodbye.
Sorry+Pain+Yes,"I'm sorry. I am in pain. And yes."
Sorry+Pain+No,"I apologize. It hurts. And no."
Sorry+Pain+Please,"I'm sorry. It hurts. And if you would, please."
Sorry+Pain+ThankYou,I apologize. I'm in pain. And thanks.
Sorry+Pain+Help,My apologies. It hurts. And I need your help.
Sorry+Pain+Stop,I apologize. It hurts. And please stop.
Sorry+Pain+Wait,My apologies. It hurts. And give me a second.
Sorry+Pain+Hungry,I'm sorry. I am in pain. And I need food.
Sorry+Pain+Water,My apologies. I'm in pain. And I'm thirsty.
Sorry+Pain+Emergency,My apologies. I'm in pain. And this is an emergency!
Sorry+Pain+Home,My apologies. I'm in pain. And take me home.
Sorry+Emergency+Hello,"I apologize. This is an emergency! And hello."
Sorry+Emergency+Goodbye,I'm sorry. This is urgent! And goodbye.
Sorry+Emergency+Yes,"My apologies. This is urgent! And yes."
Sorry+Emergency+No,"I apologize. This is an emergency! And no."
Sorry+Emergency+Please,"My apologies. This is urgent! And if you would, please."
Sorry+Emergency+ThankYou,I apologize. This is urgent! And thank you.
Sorry+Emergency+Help,I'm sorry. This is an emergency! And I need your help.
Sorry+Emergency+Stop,I apologize. This is urgent! And please stop.
Sorry+Emergency+Wait,I'm sorry. This is an emergency! And please wait a moment.
Sorry+Emergency+Hungry,My apologies. This is urgent! And I need food.
Sorry+Emergency+Water,I'm sorry. This is an emergency! And I need water.
Sorry+Emergency+Pain,I'm sorry. This is an emergency! And I am in pain.
Sorry+Emergency+Home,I apologize. This is an emergency! And let's go home.
Sorry+Home+Hello,"I'm sorry. Take me home. And hello."
Sorry+Home+Goodbye,I'm sorry. Take me home. And goodbye.
Sorry+Home+Yes,"My apologies. Take me home. And yes."
Sorry+Home+No,"I'm sorry. Let's go home. And no."
Sorry+Home+Please,"My apologies. Let's go home. And if you would, please."
Sorry+Home+ThankYou,"My apologies. Let's go home. And thank you."
Sorry+Home+Help,"My apologies. Take me home. And I need your help."
Sorry+Home+Stop,"I'm sorry. Take me home. And please stop."
Sorry+Home+Wait,"I apologize. Take me home. And give me a second."
Sorry+Home+Hungry,I apologize. I want to go home. And I'm hungry.
Sorry+Home+Water,I'm sorry. Let's go home. And I need water.
